Signatur;Titel;Form und Inhalt;Entstehungszeitraum;Bemerkungen zur Datierung;Bemerkungen zum Umfang;Sprachen;ID
B-I-AARU-1;Thomas Mann an Ursula Aarburg;Kopie des Briefes vom 06.05.1952 aus Pacific Palisades, handschriftlich;06.05.1952;Daten fehlen;2 Bl./2 S.;Deutsch;76462
B-I-ABEG-1;Thomas Mann an Wilhelm Abegg;Auktionskatalogsauszug zum Brief vom 02.03.1936 aus K�snacht, gedruckt (fragmentarisch);02.03.1936;Daten fehlen;1 Bl./1 S.;Deutsch;134921
B-I-ABEL-1;Sekretariat Thomas Mann an Max Abelman;"Durchschlag zum Brief vom 12.08.1944 ohne Ort, gem�ss Regest aus Pacific Palisades, maschinenschriftlich.
Zus�tzlich vermerkt: von der Sekret�rin unterzeichnet";12.08.1944;Daten fehlen;1 Bl./1 S.;Englisch;54076
B-I-ABEN-1;Thomas Mann an Walther Abendroth;"Kopie des Briefes vom 01.12.1931 (irrt�mlich datiert 01.11.1931) aus M�nchen, maschinenschriftlich.
Kopie des Briefumschlags mit Poststempeln vom 03.12.1931";01.12.1931;Datum auf Briefkopf 01.11.1931, gem�ss Regest irrt�mlich datiert. Poststempel vom 03.12.1931;2 Bl./2 S.;Deutsch;90929
B-I-ABIT-1;Thomas Mann an Thadd�us Abitz-Schultze;Kopie der Postkarte vom 02.04.1926 aus M�nchen, handschriftlich;02.04.1926;Daten fehlen;1 Bl./1 S.;Deutsch;96767
B-I-ABIT-2;Thomas Mann an Thadd�us Abitz-Schultze;Kopie des Briefes vom 02.06.1931 aus M�nchen, handschriftlich;02.06.1931;Daten fehlen;2 Bl./2 S.;Deutsch;136929
B-I-ABOU-1;Thomas Mann an Mohamed Abou-Zaid;Kopie des Briefes vom 31.01.1931 aus St. Moritz, maschinenschriftlich;31.01.1931;Daten fehlen;1 Bl./1 S.;Deutsch;124269
B-I-ABRA-1;Thomas Mann an Samuel Abramson;Durchschlag zum Brief vom 05.10.1939 aus Princeton, maschinenschriftlich;05.10.1939;Daten fehlen;1 Bl./1 S.;Englisch;44092
B-I-ABUS-1;Thomas Mann an Alexander Abusch;Abschrift des Briefes vom 28.11.1953 aus Erlenbach, maschinenschriftlich;28.11.1953;Daten fehlen;1 Bl./1 S.;Deutsch;126297
B-I-ACCA-1;Thomas Mann an Guido Castelnuovo, Presidente Accademia Nazionale dei Lincei;Kopie des Briefes vom 02.02.1948 aus Pacific Palisades, maschinenschriftlich;02.02.1948;Daten fehlen;1 Bl./2 S.;Italienisch;77091
B-I-ACCA-2.1;Thomas Mann an den Presidente dell'Accademia Nazionale dei Lincei;Kopie des Telegramms vom 08.06.1952 aus Pacific Palisades, maschinenschriftlich;08.06.1952;ohne Datum, Datum des Poststempels 08.06.1952;3 Bl./3 S.;Englisch;91145
B-I-ACCA-2.2;Thomas Mann an den Presidente dell'Accademia Nazionale dei Lincei;Abschrift des Telegramms vom 08.06.1952 aus Pacific Palisades, maschinenschriftlich;08.06.1952;ohne Datum, Datum des Poststempels auf dem Telegramm 08.06.1952;1 Bl./1 S.;Englisch;106707
B-I-ACCA-2.3;Thomas Mann an den Presidente dell'Accademia Nazionale dei Lincei;Antiquariatsauszug zum Entwurf zum Telegramm vom 08.06.1952 aus Pacific Palisades, handschriftlich;08.06.1952;ohne Datum, Datum des Poststempels auf dem Telegramm 08.06.1952;1 Bl./1 S.;Englisch;69623
B-I-ACCA-3;Thomas Mann an die Accademia Nazionale dei Lincei;"Kopie des Telegramms vom 12.06.1952 aus Los Angeles, maschinenschriftlich.
Zus�tzlich vermerkt: ins Italienische �bersetzt mit Hilfe von Professor Constantine Maria Panunzio (gem�ss Regestangabe)";12.06.1952;Datum des Poststempels;1 Bl./1 S.;Italienisch;31879
B-I-ACCA-4;Thomas Mann an den Pr�sidenten der Accademia Nazionale dei Lincei;"Kopie des Briefes vom 12.07.1952 aus Kandersteg, maschinenschriftlich.
Zus�tzlich vermerkt: nachtr�gliche handschriftliche italienische Anmerkungen von Professor V. Arangio-Ruiz";12.07.1952;Daten fehlen;1 Bl./1 S.;Deutsch;92494
B-I-ACCA-5;Thomas Mann an den Pr�sidenten der Accademia Nazionale dei Lincei;"Kopie des Briefes vom 26.07.1952 aus Kandersteg, maschinenschriftlich.
Zus�tzlich vermerkt: nachtr�gliche handschriftliche italienische Anmerkung von Professor V. Arangio-Ruiz";26.07.1952;Daten fehlen;1 Bl./1 S.;Deutsch;48694
B-I-ACCA-6;Thomas Mann an Professor V. Arangio-Ruiz, Accademia Nazionale dei Lincei;Kopie des Briefes vom 16.04.1953 aus Erlenbach, maschinenschriftlich;16.04.1953;Daten fehlen;1 Bl./1 S.;Italienisch;110819
B-I-ACHA-1;Thomas Mann an Mme S. Achart;Durchschlag zum Brief vom 14.05.1945 ohne Ort, aus Pacific Palisades (gem�ss Regest, Ortsangabe wurde recherchiert), maschinenschriftlich;14.05.1945;Daten fehlen;1 Bl./1 S.;Englisch;41065
B-I-ACHEL-1;Thomas Mann an Werner Achelis;Kopie des Briefes vom 14.05.1930 aus M�nchen, handschriftlich;14.05.1930;Daten fehlen;1 Bl./2 S.;Deutsch;130773
B-I-ACHES-1.1;Thomas Mann an Dean Acheson;Abschrift des Telegramms vom 21.03.1949 aus Pacific Palisades, maschinenschriftlich;21.03.1949;Daten fehlen;1 Bl./2 S.;Englisch;52830
B-I-ACHES-1.2;Thomas Mann an Dean Acheson;(Vermutlich nachtr�gliche) Abschrift des Telegramms vom 21.03.1949 aus Pacific Palisades, maschinenschriftlich;21.03.1949;Daten fehlen;1 Bl./1 S.;Englisch;36849
B-I-ACKE-1;Thomas Mann an Erwin Ackerknecht;Kopie der Briefkarte vom 16.05.1913 aus Bad T�lz, handschriftlich;16.05.1913;Daten fehlen;2 Bl./4 S.;Deutsch;42340
B-I-ACKE-2;Thomas Mann an Erwin Ackerknecht;Kopie des Briefes vom 11.07.1913 aus M�nchen, handschriftlich;11.07.1913;Daten fehlen;1 Bl./2 S.;Deutsch;134016
B-I-ACKE-3;Thomas Mann an Erwin Ackerknecht;Kopie der Postkarte vom 02.03.1921 aus M�nchen, handschriftlich;02.03.1921;Daten fehlen;2 Bl./4 S.;Deutsch;88151
B-I-ACKE-4;Thomas Mann an Erwin Ackerknecht;"Kopie des Briefes vom 18.05.1932 aus M�nchen, maschinenschriftlich.
Zus�tzlich vermerkt: mit handschriftlichen Korrekturen";18.05.1932;Daten fehlen;1 Bl./1 S.;Deutsch;114457
B-I-ACKE-5.1;Thomas Mann an Erwin Ackerknecht;Durchschlag des Briefes vom 04.02.1951 aus Pacific Palisades, maschinenschriftlich;04.02.1951;Daten fehlen;1 Bl./1 S.;Deutsch;139052
B-I-ACKE-5.2;Thomas Mann an Erwin Ackerknecht;Kopie des Briefes vom 04.02.1951 aus Pacific Palisades, maschinenschriftlich;04.02.1951;Daten fehlen;1 Bl./2 S.;Deutsch;142186
B-I-ACKEJ-1;Thomas Mann an Joe Randolph Ackerley;Durchschlag zum Brief vom 30.12.1939 aus Princeton, maschinenschriftlich;30.12.1939;Daten fehlen;1 Bl./1 S.;Englisch;111812
B-I-ACKER-1;Thomas Mann an Vinita Ackerman (Mrs. Alfred Ackerman);Durchschlag zum Brief vom 02.11.1947 aus Pacific Palisades, maschinenschriftlich.;02.11.1947;Daten fehlen;1 Bl./1 S.;Englisch;98097
B-I-ACKET-1;Thomas Mann an Theodor Ackermann;Abschrift des Briefes vom 28.03.1919 aus M�nchen, maschinenschriftlich.;28.03.1919;Daten fehlen;1 Bl./1 S.;Deutsch;120201
B-I-ACKEW-1.1;Thomas Mann an Waldemar [?] Ackermann;"Briefentwurf, Original, aus Ettal, handschriftlich.
Zus�tzliche Beilage, nachtr�glich: kurze Erl�uterung und Inhaltszusammenfassung zum Briefentwurf (aus anderer Hand).";12.01.1929;Daten fehlen;3 Bl./6 S. + 1 Bl./1 S.;Deutsch;127055
